X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-668205.388376911,4494457.83674956,4627,A2,102,30,Torneo (Baños),618,10212,10210,92
-668205.388376911,4494457.83674956,4627,A2,102,30,Torneo (Baños),618,10214,10211,93
-666336.184546492,4493730.38474836,3103,C5,121,31,Santiago (Pza J. de La Redención),618,12112,12110,94
-667492.135356143,4494122.1656408,4259,C5,121,32,Teniente Borges (Plaza Duque),618,12111,12110,95
-667492.135356143,4494122.1656408,0,C5,121,32,Teniente Borges (Plaza Duque),618,12112,12110,96
-668780.630097869,4493208.21111213,2116,43,43,33,Clara de Jesús Montero (Procurador),618,4312,4310,97
-668780.630097869,4493208.21111213,3730,C3,83,33,Clara de Jesús Montero (Procurador),618,8312,8310,98
-668263.246960549,4492009.50123902,1328,40,40,34,Esperanza de Triana (Republica Argentina),618,4012,4010,99
-667465.435476464,4491689.93963138,2574,41,41,37,Sebastián Elcano (Virgen de Luján),618,4111,4110,100
-667423.076629105,4491460.69488331,7641,06,6,38,Virgen de Luján (Sebastián Elcano),618,611,610,101
-667423.076629105,4491460.69488331,3209,41,41,38,Virgen de Luján (Sebastián Elcano),618,4112,4110,102
-667423.076629105,4491460.69488331,5183,C2,82,38,Virgen de Luján (Sebastián Elcano),618,8211,8210,103
-666935.153593899,4491611.92104736,5641,C2,82,39,Glorieta Marineros Voluntarios,618,8211,8210,104
-666774.211191431,4492040.49603482,6514,34,34,40,Avenida María Luisa (Teatro Lope de Vega),618,3412,3410,105
-666774.211191431,4492040.49603482,6019,C2,82,40,Avenida María Luisa (Teatro Lope de Vega),618,8211,8210,106
-666774.211191431,4492040.49603482,9812,A6,106,40,Avenida María Luisa (Teatro Lope de Vega),618,10612,10610,107
-666774.211191431,4492040.49603482,9812,A6,106,40,Avenida María Luisa (Teatro Lope de Vega),618,10614,10611,108
-666308.741531288,4493120.02671657,3965,01,1,42,Menéndez Pelayo (Puerta de La Carne),618,112,110,109
-666308.741531288,4493120.02671657,3251,21,21,42,Menéndez Pelayo (Puerta de La Carne),618,2111,2110,110
-666308.741531288,4493120.02671657,543,C4,84,42,Menéndez Pelayo (Puerta de La Carne),618,8412,8410,111
